"train/global_step","vit-large-patch16-384-wot - _step","vit-large-patch16-384-wot - _step__MIN","vit-large-patch16-384-wot - _step__MAX","vit-large-patch16-384-wot - eval/accuracy","vit-large-patch16-384-wot - eval/accuracy__MIN","vit-large-patch16-384-wot - eval/accuracy__MAX","vit-large-patch16-384 - _step","vit-large-patch16-384 - _step__MIN","vit-large-patch16-384 - _step__MAX","vit-large-patch16-384 - eval/accuracy","vit-large-patch16-384 - eval/accuracy__MIN","vit-large-patch16-384 - eval/accuracy__MAX"
"100","10","10","10","0.6355140209197998","0.6355140209197998","0.6355140209197998","10","10","10","0.6364486217498779","0.6364486217498779","0.6364486217498779"
"200","21","21","21","0.7448598146438599","0.7448598146438599","0.7448598146438599","21","21","21","0.6607476472854614","0.6607476472854614","0.6607476472854614"
"300","32","32","32","0.8485981225967407","0.8485981225967407","0.8485981225967407","32","32","32","0.8037382960319519","0.8037382960319519","0.8037382960319519"
"400","43","43","43","0.8663551211357117","0.8663551211357117","0.8663551211357117","43","43","43","0.8448598384857178","0.8448598384857178","0.8448598384857178"
"500","54","54","54","0.8644859790802002","0.8644859790802002","0.8644859790802002","54","54","54","0.8579439520835876","0.8579439520835876","0.8579439520835876"
"600","65","65","65","0.8878504633903503","0.8878504633903503","0.8878504633903503","65","65","65","0.8925233483314514","0.8925233483314514","0.8925233483314514"
"700","76","76","76","0.8747663497924805","0.8747663497924805","0.8747663497924805","76","76","76","0.8775700926780701","0.8775700926780701","0.8775700926780701"
"800","87","87","87","0.8943925499916077","0.8943925499916077","0.8943925499916077","87","87","87","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"900","98","98","98","0.8672897219657898","0.8672897219657898","0.8672897219657898","98","98","98","0.8672897219657898","0.8672897219657898","0.8672897219657898"
"1000","109","109","109","0.8831775784492493","0.8831775784492493","0.8831775784492493","109","109","109","0.8878504633903503","0.8878504633903503","0.8878504633903503"
"1100","120","120","120","0.8682243227958679","0.8682243227958679","0.8682243227958679","120","120","120","0.8850467205047607","0.8850467205047607","0.8850467205047607"
"1200","131","131","131","0.8850467205047607","0.8850467205047607","0.8850467205047607","131","131","131","0.8887850642204285","0.8887850642204285","0.8887850642204285"
"1300","142","142","142","0.8831775784492493","0.8831775784492493","0.8831775784492493","142","142","142","0.8841121792793274","0.8841121792793274","0.8841121792793274"
"1400","153","153","153","0.8925233483314514","0.8925233483314514","0.8925233483314514","153","153","153","0.8981308341026306","0.8981308341026306","0.8981308341026306"
